Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00020,2025-03-12,58334907-0230,Kano Textiles Ltd,NGN,19253.25,1443.99,20697.24,Building Materials,3,2044.56
INV-SYN-00020,2025-03-12,58334907-0230,Kano Textiles Ltd,NGN,19253.25,1443.99,20697.24,Maintenance Services,9,1109.65
INV-SYN-00020,2025-03-12,58334907-0230,Kano Textiles Ltd,NGN,19253.25,1443.99,20697.24,Industrial Equipment,12,261.06
INV-SYN-00021,2025-11-12,16754646-0061,Ibrahim & Sons Trading Ltd,NGN,31646.81,2373.51,34020.32,Maintenance Services,1,1436.09
INV-SYN-00021,2025-11-12,16754646-0061,Ibrahim & Sons Trading Ltd,NGN,31646.81,2373.51,34020.32,Office Supplies,6,2422.16
INV-SYN-00021,2025-11-12,16754646-0061,Ibrahim & Sons Trading Ltd,NGN,31646.81,2373.51,34020.32,Raw Materials,14,1119.84
INV-SYN-00022,2025-01-13,58785294-6793,Emeka Logistics Nigeria Ltd,NGN,84574.35,6343.08,90917.43,Raw Materials,13,3059.15
INV-SYN-00022,2025-01-13,58785294-6793,Emeka Logistics Nigeria Ltd,NGN,84574.35,6343.08,90917.43,Logistics Services,10,2167.24
INV-SYN-00022,2025-01-13,58785294-6793,Emeka Logistics Nigeria Ltd,NGN,84574.35,6343.08,90917.43,Logistics Services,20,1156.65
INV-SYN-00023,2025-09-26,49772639-0345,Emeka Logistics Nigeria Ltd,NGN,44702.86,3352.71,48055.57,Building Materials,15,1416.97
INV-SYN-00023,2025-09-26,49772639-0345,Emeka Logistics Nigeria Ltd,NGN,44702.86,3352.71,48055.57,Consulting Services,19,696.79
INV-SYN-00023,2025-09-26,49772639-0345,Emeka Logistics Nigeria Ltd,NGN,44702.86,3352.71,48055.57,IT Services,3,3403.10
INV-SYN-00024,2025-02-12,55358462-1369,Lagos Steel & Aluminium Ltd,NGN,42523.08,3189.23,45712.31,Consulting Services,4,4667.58
INV-SYN-00024,2025-02-12,55358462-1369,Lagos Steel & Aluminium Ltd,NGN,42523.08,3189.23,45712.31,Raw Materials,16,1258.76
INV-SYN-00024,2025-02-12,55358462-1369,Lagos Steel & Aluminium Ltd,NGN,42523.08,3189.23,45712.31,Consulting Services,19,195.40
INV-SYN-00025,2025-05-28,57664647-0657,Yusuf Agro Processing Ltd,NGN,55246.23,4143.47,59389.70,Building Materials,15,2055.99
INV-SYN-00025,2025-05-28,57664647-0657,Yusuf Agro Processing Ltd,NGN,55246.23,4143.47,59389.70,Logistics Services,3,2181.94
INV-SYN-00025,2025-05-28,57664647-0657,Yusuf Agro Processing Ltd,NGN,55246.23,4143.47,59389.70,IT Services,6,2976.76
INV-SYN-00026,2025-09-19,59803049-1669,Chukwuemeka Okàfor Ventures Ltd,NGN,48490.22,3636.77,52126.99,Office Supplies,15,1042.56
INV-SYN-00026,2025-09-19,59803049-1669,Chukwuemeka Okàfor Ventures Ltd,NGN,48490.22,3636.77,52126.99,Maintenance Services,6,4681.24
INV-SYN-00026,2025-09-19,59803049-1669,Chukwuemeka Okàfor Ventures Ltd,NGN,48490.22,3636.77,52126.99,Office Supplies,1,4764.38
INV-SYN-00027,2025-05-01,85719133-4674,Yusuf Agro Processing Ltd,NGN,138468.02,10385.10,148853.12,Building Materials,9,4805.24
INV-SYN-00027,2025-05-01,85719133-4674,Yusuf Agro Processing Ltd,NGN,138468.02,10385.10,148853.12,Maintenance Services,11,4108.51
INV-SYN-00027,2025-05-01,85719133-4674,Yusuf Agro Processing Ltd,NGN,138468.02,10385.10,148853.12,Consulting Services,15,3335.15
INV-SYN-00028,2025-02-06,68671558-6588,Kano Textiles Ltd,NGN,94961.68,7122.13,102083.81,Maintenance Services,18,3418.96
INV-SYN-00028,2025-02-06,68671558-6588,Kano Textiles Ltd,NGN,94961.68,7122.13,102083.81,Office Supplies,15,1140.16
INV-SYN-00028,2025-02-06,68671558-6588,Kano Textiles Ltd,NGN,94961.68,7122.13,102083.81,Industrial Equipment,20,815.90
INV-SYN-00029,2025-07-06,57275807-9741,Emeka Logistics Nigeria Ltd,NGN,109857.43,8239.31,118096.74,Logistics Services,8,1530.36
INV-SYN-00029,2025-07-06,57275807-9741,Emeka Logistics Nigeria Ltd,NGN,109857.43,8239.31,118096.74,Building Materials,16,4017.25
INV-SYN-00029,2025-07-06,57275807-9741,Emeka Logistics Nigeria Ltd,NGN,109857.43,8239.31,118096.74,Raw Materials,7,4762.65
INV-SYN-00030,2025-01-04,81940431-5247,Ọlá Foods Distribution Plc,NGN,86615.09,6496.13,93111.22,Industrial Equipment,12,2327.67
INV-SYN-00030,2025-01-04,81940431-5247,Ọlá Foods Distribution Plc,NGN,86615.09,6496.13,93111.22,IT Services,15,723.71
INV-SYN-00030,2025-01-04,81940431-5247,Ọlá Foods Distribution Plc,NGN,86615.09,6496.13,93111.22,Maintenance Services,20,2391.37
INV-SYN-00031,2025-03-20,60328702-6653,Yusuf Agro Processing Ltd,NGN,12357.41,926.81,13284.22,Industrial Equipment,15,156.40
INV-SYN-00031,2025-03-20,60328702-6653,Yusuf Agro Processing Ltd,NGN,12357.41,926.81,13284.22,Building Materials,13,182.82
INV-SYN-00031,2025-03-20,60328702-6653,Yusuf Agro Processing Ltd,NGN,12357.41,926.81,13284.22,Raw Materials,5,1526.95
INV-SYN-00032,2025-02-25,32791473-7892,Emeka Logistics Nigeria Ltd,NGN,51727.79,3879.58,55607.37,Building Materials,2,4360.49
INV-SYN-00032,2025-02-25,32791473-7892,Emeka Logistics Nigeria Ltd,NGN,51727.79,3879.58,55607.37,Building Materials,19,268.99
INV-SYN-00032,2025-02-25,32791473-7892,Emeka Logistics Nigeria Ltd,NGN,51727.79,3879.58,55607.37,Maintenance Services,16,2368.50
INV-SYN-00033,2025-06-10,68472254-6901,Port Harcourt Energy Services Ltd,NGN,51074.05,3830.55,54904.60,Logistics Services,1,231.81
INV-SYN-00033,2025-06-10,68472254-6901,Port Harcourt Energy Services Ltd,NGN,51074.05,3830.55,54904.60,IT Services,10,4498.44
INV-SYN-00033,2025-06-10,68472254-6901,Port Harcourt Energy Services Ltd,NGN,51074.05,3830.55,54904.60,IT Services,8,732.23
INV-SYN-00034,2025-01-02,26097528-0090,Ọlá Foods Distribution Plc,NGN,45052.22,3378.92,48431.14,IT Services,7,1263.67
INV-SYN-00034,2025-01-02,26097528-0090,Ọlá Foods Distribution Plc,NGN,45052.22,3378.92,48431.14,Maintenance Services,7,3195.67
INV-SYN-00034,2025-01-02,26097528-0090,Ọlá Foods Distribution Plc,NGN,45052.22,3378.92,48431.14,Raw Materials,4,3459.21
INV-SYN-00035,2025-06-05,62615553-2338,Ola Foods Plc,NGN,80257.94,6019.35,86277.29,IT Services,7,2603.66
INV-SYN-00035,2025-06-05,62615553-2338,Ola Foods Plc,NGN,80257.94,6019.35,86277.29,IT Services,11,3463.04
INV-SYN-00035,2025-06-05,62615553-2338,Ola Foods Plc,NGN,80257.94,6019.35,86277.29,Raw Materials,14,1709.92
INV-SYN-00036,2025-12-28,92775689-0483,Adeyemi Trading Company Ltd,NGN,174836.01,13112.70,187948.71,Consulting Services,20,4398.45
INV-SYN-00036,2025-12-28,92775689-0483,Adeyemi Trading Company Ltd,NGN,174836.01,13112.70,187948.71,Maintenance Services,17,3596.61
INV-SYN-00036,2025-12-28,92775689-0483,Adeyemi Trading Company Ltd,NGN,174836.01,13112.70,187948.71,Building Materials,12,2143.72
INV-SYN-00037,2025-02-11,84328999-6640,Ọlá Foods Distribution Plc,NGN,131744.84,9880.86,141625.70,Logistics Services,4,98.28
INV-SYN-00037,2025-02-11,84328999-6640,Ọlá Foods Distribution Plc,NGN,131744.84,9880.86,141625.70,Logistics Services,14,4604.22
INV-SYN-00037,2025-02-11,84328999-6640,Ọlá Foods Distribution Plc,NGN,131744.84,9880.86,141625.70,Maintenance Services,16,4180.79
INV-SYN-00038,2025-11-09,59218592-1588,Port Harcourt Energy Services Ltd,NGN,89524.26,6714.32,96238.58,Logistics Services,18,660.93
INV-SYN-00038,2025-11-09,59218592-1588,Port Harcourt Energy Services Ltd,NGN,89524.26,6714.32,96238.58,Building Materials,12,54.51
INV-SYN-00038,2025-11-09,59218592-1588,Port Harcourt Energy Services Ltd,NGN,89524.26,6714.32,96238.58,Maintenance Services,20,3848.67
INV-SYN-00039,2025-03-18,26056520-6067,Emeka Logistics Nigeria Ltd,NGN,35009.16,2625.69,37634.85,Office Supplies,16,1515.68
INV-SYN-00039,2025-03-18,26056520-6067,Emeka Logistics Nigeria Ltd,NGN,35009.16,2625.69,37634.85,IT Services,10,101.78
INV-SYN-00039,2025-03-18,26056520-6067,Emeka Logistics Nigeria Ltd,NGN,35009.16,2625.69,37634.85,Logistics Services,2,4870.24
INV-SYN-00040,2025-09-05,81716100-7122,Adeyemi Trading Company Ltd,NGN,115727.25,8679.54,124406.79,IT Services,7,1398.71
INV-SYN-00040,2025-09-05,81716100-7122,Adeyemi Trading Company Ltd,NGN,115727.25,8679.54,124406.79,Building Materials,15,3256.22
INV-SYN-00040,2025-09-05,81716100-7122,Adeyemi Trading Company Ltd,NGN,115727.25,8679.54,124406.79,Consulting Services,14,4078.07
INV-SYN-00041,2025-04-27,01797505-6536,Ola Foods Plc,NGN,61945.02,4645.88,66590.90,Building Materials,10,2964.31
INV-SYN-00041,2025-04-27,01797505-6536,Ola Foods Plc,NGN,61945.02,4645.88,66590.90,Industrial Equipment,8,1928.86
INV-SYN-00041,2025-04-27,01797505-6536,Ola Foods Plc,NGN,61945.02,4645.88,66590.90,IT Services,9,1874.56
INV-SYN-00042,2025-07-07,32717418-6962,Lagos Steel & Aluminium Ltd,NGN,144534.96,10840.12,155375.08,IT Services,12,355.77
INV-SYN-00042,2025-07-07,32717418-6962,Lagos Steel & Aluminium Ltd,NGN,144534.96,10840.12,155375.08,IT Services,18,4092.14
INV-SYN-00042,2025-07-07,32717418-6962,Lagos Steel & Aluminium Ltd,NGN,144534.96,10840.12,155375.08,Industrial Equipment,15,4440.48
INV-SYN-00043,2025-04-21,18675219-7175,Yusuf Agro Processing Ltd,NGN,138887.38,10416.55,149303.93,Logistics Services,6,4600.22
INV-SYN-00043,2025-04-21,18675219-7175,Yusuf Agro Processing Ltd,NGN,138887.38,10416.55,149303.93,Logistics Services,20,4420.38
INV-SYN-00043,2025-04-21,18675219-7175,Yusuf Agro Processing Ltd,NGN,138887.38,10416.55,149303.93,Industrial Equipment,11,2079.86
INV-SYN-00044,2025-07-17,23897296-1516,Ọlá Foods Distribution Plc,NGN,31542.71,2365.70,33908.41,IT Services,5,2346.36
INV-SYN-00044,2025-07-17,23897296-1516,Ọlá Foods Distribution Plc,NGN,31542.71,2365.70,33908.41,Building Materials,1,1750.96
INV-SYN-00044,2025-07-17,23897296-1516,Ọlá Foods Distribution Plc,NGN,31542.71,2365.70,33908.41,Consulting Services,17,1062.35
INV-SYN-00045,2025-11-21,08271424-4694,Lagos Steel & Aluminium Ltd,NGN,99199.38,7439.95,106639.33,Consulting Services,10,2332.11
INV-SYN-00045,2025-11-21,08271424-4694,Lagos Steel & Aluminium Ltd,NGN,99199.38,7439.95,106639.33,Maintenance Services,9,3214.81
INV-SYN-00045,2025-11-21,08271424-4694,Lagos Steel & Aluminium Ltd,NGN,99199.38,7439.95,106639.33,Building Materials,17,2761.47
INV-SYN-00046,2025-05-14,38394803-6181,Yusuf Agro Processing Ltd,NGN,37471.36,2810.35,40281.71,Building Materials,14,796.26
INV-SYN-00046,2025-05-14,38394803-6181,Yusuf Agro Processing Ltd,NGN,37471.36,2810.35,40281.71,Office Supplies,1,3825.07
INV-SYN-00046,2025-05-14,38394803-6181,Yusuf Agro Processing Ltd,NGN,37471.36,2810.35,40281.71,Maintenance Services,5,4499.73
INV-SYN-00047,2025-09-06,83489731-8806,Lagos Steel & Aluminium Ltd,NGN,52076.95,3905.77,55982.72,Building Materials,9,780.03
INV-SYN-00047,2025-09-06,83489731-8806,Lagos Steel & Aluminium Ltd,NGN,52076.95,3905.77,55982.72,Logistics Services,6,1434.95
INV-SYN-00047,2025-09-06,83489731-8806,Lagos Steel & Aluminium Ltd,NGN,52076.95,3905.77,55982.72,IT Services,17,2143.94
INV-SYN-00048,2025-02-20,78531894-7492,Ibrahim & Sons Trading Ltd,NGN,24932.12,1869.91,26802.03,Maintenance Services,5,1302.30
INV-SYN-00048,2025-02-20,78531894-7492,Ibrahim & Sons Trading Ltd,NGN,24932.12,1869.91,26802.03,Building Materials,1,1824.78
INV-SYN-00048,2025-02-20,78531894-7492,Ibrahim & Sons Trading Ltd,NGN,24932.12,1869.91,26802.03,Logistics Services,16,1037.24
INV-SYN-00049,2025-05-12,13554380-7006,Port Harcourt Energy Services Ltd,NGN,55597.76,4169.83,59767.59,Consulting Services,14,2666.89
INV-SYN-00049,2025-05-12,13554380-7006,Port Harcourt Energy Services Ltd,NGN,55597.76,4169.83,59767.59,IT Services,8,1829.66
INV-SYN-00049,2025-05-12,13554380-7006,Port Harcourt Energy Services Ltd,NGN,55597.76,4169.83,59767.59,IT Services,1,3624.02
INV-SYN-00050,2025-10-06,31179861-1811,Lagos Steel & Aluminium Ltd,NGN,60299.95,4522.50,64822.45,Consulting Services,1,3649.63
INV-SYN-00050,2025-10-06,31179861-1811,Lagos Steel & Aluminium Ltd,NGN,60299.95,4522.50,64822.45,Raw Materials,9,3062.40
INV-SYN-00050,2025-10-06,31179861-1811,Lagos Steel & Aluminium Ltd,NGN,60299.95,4522.50,64822.45,Consulting Services,12,2424.06
INV-SYN-00051,2025-01-26,26216619-8297,Abuja Construction Materials Ltd,NGN,40858.14,3064.36,43922.50,Industrial Equipment,12,2310.92
INV-SYN-00051,2025-01-26,26216619-8297,Abuja Construction Materials Ltd,NGN,40858.14,3064.36,43922.50,Raw Materials,18,151.50
INV-SYN-00051,2025-01-26,26216619-8297,Abuja Construction Materials Ltd,NGN,40858.14,3064.36,43922.50,Building Materials,5,2080.02
INV-SYN-00052,2025-01-23,59589019-5695,Chukwuemeka Okàfor Ventures Ltd,NGN,87467.69,6560.08,94027.77,Raw Materials,14,243.74
INV-SYN-00052,2025-01-23,59589019-5695,Chukwuemeka Okàfor Ventures Ltd,NGN,87467.69,6560.08,94027.77,Office Supplies,19,3550.77
INV-SYN-00052,2025-01-23,59589019-5695,Chukwuemeka Okàfor Ventures Ltd,NGN,87467.69,6560.08,94027.77,Maintenance Services,5,3318.14
INV-SYN-00053,2025-10-08,95136742-2320,Chukwuemeka Okàfor Ventures Ltd,NGN,32294.62,2422.10,34716.72,IT Services,11,1159.13
INV-SYN-00053,2025-10-08,95136742-2320,Chukwuemeka Okàfor Ventures Ltd,NGN,32294.62,2422.10,34716.72,Logistics Services,17,737.27
INV-SYN-00053,2025-10-08,95136742-2320,Chukwuemeka Okàfor Ventures Ltd,NGN,32294.62,2422.10,34716.72,Industrial Equipment,10,701.06
INV-SYN-00054,2025-03-14,68558514-1094,Yusuf Agro Processing Ltd,NGN,78785.79,5908.93,84694.72,Office Supplies,6,2814.05
INV-SYN-00054,2025-03-14,68558514-1094,Yusuf Agro Processing Ltd,NGN,78785.79,5908.93,84694.72,Logistics Services,19,2382.45
INV-SYN-00054,2025-03-14,68558514-1094,Yusuf Agro Processing Ltd,NGN,78785.79,5908.93,84694.72,Industrial Equipment,6,2772.49
INV-SYN-00055,2025-10-27,80289816-7001,Ibrahim & Sons Trading Ltd,NGN,8176.24,613.22,8789.46,Logistics Services,3,1080.18
INV-SYN-00055,2025-10-27,80289816-7001,Ibrahim & Sons Trading Ltd,NGN,8176.24,613.22,8789.46,Office Supplies,2,1715.29
INV-SYN-00055,2025-10-27,80289816-7001,Ibrahim & Sons Trading Ltd,NGN,8176.24,613.22,8789.46,Maintenance Services,1,1505.12
INV-SYN-00056,2025-10-01,41940206-6114,Abuja Construction Materials Ltd,NGN,66470.70,4985.30,71456.00,Building Materials,11,186.72
INV-SYN-00056,2025-10-01,41940206-6114,Abuja Construction Materials Ltd,NGN,66470.70,4985.30,71456.00,Industrial Equipment,20,867.07
INV-SYN-00056,2025-10-01,41940206-6114,Abuja Construction Materials Ltd,NGN,66470.70,4985.30,71456.00,Maintenance Services,17,2769.14
INV-SYN-00057,2025-07-24,05227410-5163,Ibrahim & Sons Trading Ltd,NGN,59824.82,4486.86,64311.68,Logistics Services,7,544.64
INV-SYN-00057,2025-07-24,05227410-5163,Ibrahim & Sons Trading Ltd,NGN,59824.82,4486.86,64311.68,Consulting Services,2,2979.45
INV-SYN-00057,2025-07-24,05227410-5163,Ibrahim & Sons Trading Ltd,NGN,59824.82,4486.86,64311.68,Office Supplies,16,3128.34
INV-SYN-00058,2025-04-16,92445774-6742,Port Harcourt Energy Services Ltd,NGN,61455.20,4609.14,66064.34,IT Services,19,1884.99
INV-SYN-00058,2025-04-16,92445774-6742,Port Harcourt Energy Services Ltd,NGN,61455.20,4609.14,66064.34,Industrial Equipment,14,1016.71
INV-SYN-00058,2025-04-16,92445774-6742,Port Harcourt Energy Services Ltd,NGN,61455.20,4609.14,66064.34,Consulting Services,11,1036.95
INV-SYN-00059,2025-03-24,21089746-3662,Ibrahim & Sons Trading Ltd,NGN,82287.42,6171.56,88458.98,Industrial Equipment,15,1032.40
INV-SYN-00059,2025-03-24,21089746-3662,Ibrahim & Sons Trading Ltd,NGN,82287.42,6171.56,88458.98,Consulting Services,14,4578.18
INV-SYN-00059,2025-03-24,21089746-3662,Ibrahim & Sons Trading Ltd,NGN,82287.42,6171.56,88458.98,Building Materials,10,270.69
INV-SYN-00060,2025-03-06,15699855-1527,Port Harcourt Energy Services Ltd,NGN,20015.02,1501.13,21516.15,Building Materials,20,592.82
INV-SYN-00060,2025-03-06,15699855-1527,Port Harcourt Energy Services Ltd,NGN,20015.02,1501.13,21516.15,Industrial Equipment,1,2571.12
INV-SYN-00060,2025-03-06,15699855-1527,Port Harcourt Energy Services Ltd,NGN,20015.02,1501.13,21516.15,Building Materials,5,1117.50
INV-SYN-00061,2025-02-05,13834180-2773,Abuja Construction Materials Ltd,NGN,56005.35,4200.40,60205.75,IT Services,1,893.77
INV-SYN-00061,2025-02-05,13834180-2773,Abuja Construction Materials Ltd,NGN,56005.35,4200.40,60205.75,IT Services,7,999.44
INV-SYN-00061,2025-02-05,13834180-2773,Abuja Construction Materials Ltd,NGN,56005.35,4200.40,60205.75,Logistics Services,10,4811.55
INV-SYN-00062,2025-03-29,48269769-6631,Lagos Steel & Aluminium Ltd,NGN,53871.16,4040.34,57911.50,Raw Materials,4,3543.49
INV-SYN-00062,2025-03-29,48269769-6631,Lagos Steel & Aluminium Ltd,NGN,53871.16,4040.34,57911.50,Consulting Services,20,786.20
INV-SYN-00062,2025-03-29,48269769-6631,Lagos Steel & Aluminium Ltd,NGN,53871.16,4040.34,57911.50,Building Materials,8,2996.65
INV-SYN-00063,2025-11-11,80811006-7317,Yusuf Agro Processing Ltd,NGN,39548.45,2966.13,42514.58,Office Supplies,6,1587.06
INV-SYN-00063,2025-11-11,80811006-7317,Yusuf Agro Processing Ltd,NGN,39548.45,2966.13,42514.58,Consulting Services,5,4217.94
INV-SYN-00063,2025-11-11,80811006-7317,Yusuf Agro Processing Ltd,NGN,39548.45,2966.13,42514.58,Industrial Equipment,17,525.67
