Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00024,2025-01-28,79020157-9949,Abuja Construction Materials Ltd,NGN,46471.88,3485.39,49957.27,Building Materials,2,2239.54
INV-SYN-00024,2025-01-28,79020157-9949,Abuja Construction Materials Ltd,NGN,46471.88,3485.39,49957.27,IT Services,18,1657.26
INV-SYN-00025,2025-05-23,83342341-9898,Ola Foods Plc,NGN,76318.39,5723.88,82042.27,Raw Materials,16,896.62
INV-SYN-00025,2025-05-23,83342341-9898,Ola Foods Plc,NGN,76318.39,5723.88,82042.27,Industrial Equipment,14,2441.50
INV-SYN-00025,2025-05-23,83342341-9898,Ola Foods Plc,NGN,76318.39,5723.88,82042.27,IT Services,7,3970.21
INV-SYN-00026,2025-02-18,33672219-7124,Ola Foods Plc,NGN,29765.40,2232.41,31997.81,Consulting Services,5,126.74
INV-SYN-00026,2025-02-18,33672219-7124,Ola Foods Plc,NGN,29765.40,2232.41,31997.81,IT Services,11,1470.10
INV-SYN-00026,2025-02-18,33672219-7124,Ola Foods Plc,NGN,29765.40,2232.41,31997.81,Consulting Services,5,2592.12
INV-SYN-00027,2025-04-15,51440943-7647,Chukwuemeka Okafor Ltd,NGN,53460.89,4009.57,57470.46,Industrial Equipment,11,1109.48
INV-SYN-00027,2025-04-15,51440943-7647,Chukwuemeka Okafor Ltd,NGN,53460.89,4009.57,57470.46,Office Supplies,4,3419.14
INV-SYN-00027,2025-04-15,51440943-7647,Chukwuemeka Okafor Ltd,NGN,53460.89,4009.57,57470.46,Office Supplies,15,1838.67
INV-SYN-00028,2025-03-10,82586319-2191,Lagos Steel & Aluminium Ltd,NGN,155273.26,11645.49,166918.75,Industrial Equipment,15,3408.54
INV-SYN-00028,2025-03-10,82586319-2191,Lagos Steel & Aluminium Ltd,NGN,155273.26,11645.49,166918.75,Building Materials,20,2426.76
INV-SYN-00028,2025-03-10,82586319-2191,Lagos Steel & Aluminium Ltd,NGN,155273.26,11645.49,166918.75,Consulting Services,14,3972.14
INV-SYN-00029,2025-11-14,57538189-1341,Chukwuemeka Okafor Ltd,NGN,103236.68,7742.75,110979.43,Raw Materials,9,3589.32
INV-SYN-00029,2025-11-14,57538189-1341,Chukwuemeka Okafor Ltd,NGN,103236.68,7742.75,110979.43,Industrial Equipment,20,3317.75
INV-SYN-00029,2025-11-14,57538189-1341,Chukwuemeka Okafor Ltd,NGN,103236.68,7742.75,110979.43,Logistics Services,1,4577.80
INV-SYN-00030,2025-12-17,91672767-9513,Kano Textiles Ltd,NGN,48693.79,3652.03,52345.82,Building Materials,1,996.14
INV-SYN-00030,2025-12-17,91672767-9513,Kano Textiles Ltd,NGN,48693.79,3652.03,52345.82,Raw Materials,7,3712.20
INV-SYN-00030,2025-12-17,91672767-9513,Kano Textiles Ltd,NGN,48693.79,3652.03,52345.82,Industrial Equipment,5,4342.45
INV-SYN-00031,2025-05-23,00002913-6462,Ola Foods Plc,NGN,20583.74,1543.78,22127.52,Consulting Services,3,1267.85
INV-SYN-00031,2025-05-23,00002913-6462,Ola Foods Plc,NGN,20583.74,1543.78,22127.52,Building Materials,3,4122.33
INV-SYN-00031,2025-05-23,00002913-6462,Ola Foods Plc,NGN,20583.74,1543.78,22127.52,Raw Materials,8,551.65
INV-SYN-00032,2025-06-12,11355232-1961,Port Harcourt Energy Services Ltd,NGN,110447.84,8283.59,118731.43,Maintenance Services,6,1370.17
INV-SYN-00032,2025-06-12,11355232-1961,Port Harcourt Energy Services Ltd,NGN,110447.84,8283.59,118731.43,Raw Materials,14,4510.81
INV-SYN-00032,2025-06-12,11355232-1961,Port Harcourt Energy Services Ltd,NGN,110447.84,8283.59,118731.43,Consulting Services,12,3256.29
INV-SYN-00033,2025-10-30,63157852-8228,Chukwuemeka Okàfor Ventures Ltd,NGN,118186.38,8863.98,127050.36,Industrial Equipment,17,3608.20
INV-SYN-00033,2025-10-30,63157852-8228,Chukwuemeka Okàfor Ventures Ltd,NGN,118186.38,8863.98,127050.36,Maintenance Services,1,318.50
INV-SYN-00033,2025-10-30,63157852-8228,Chukwuemeka Okàfor Ventures Ltd,NGN,118186.38,8863.98,127050.36,Maintenance Services,16,3533.03
INV-SYN-00034,2025-02-01,92726234-7234,Chukwuemeka Okàfor Ventures Ltd,NGN,148738.82,11155.41,159894.23,Industrial Equipment,20,2114.88
INV-SYN-00034,2025-02-01,92726234-7234,Chukwuemeka Okàfor Ventures Ltd,NGN,148738.82,11155.41,159894.23,Logistics Services,9,2990.58
INV-SYN-00034,2025-02-01,92726234-7234,Chukwuemeka Okàfor Ventures Ltd,NGN,148738.82,11155.41,159894.23,IT Services,20,3976.30
INV-SYN-00035,2025-07-13,03683771-7226,Chukwuemeka Okàfor Ventures Ltd,NGN,99870.51,7490.29,107360.80,Maintenance Services,8,4296.84
INV-SYN-00035,2025-07-13,03683771-7226,Chukwuemeka Okàfor Ventures Ltd,NGN,99870.51,7490.29,107360.80,IT Services,17,3238.03
INV-SYN-00035,2025-07-13,03683771-7226,Chukwuemeka Okàfor Ventures Ltd,NGN,99870.51,7490.29,107360.80,Maintenance Services,4,2612.32
INV-SYN-00036,2025-01-28,47620965-9145,Chukwuemeka Okàfor Ventures Ltd,NGN,87596.60,6569.75,94166.35,Industrial Equipment,4,2564.79
INV-SYN-00036,2025-01-28,47620965-9145,Chukwuemeka Okàfor Ventures Ltd,NGN,87596.60,6569.75,94166.35,IT Services,14,4463.53
INV-SYN-00036,2025-01-28,47620965-9145,Chukwuemeka Okàfor Ventures Ltd,NGN,87596.60,6569.75,94166.35,Consulting Services,9,1649.78
INV-SYN-00037,2025-09-22,52123768-9885,Port Harcourt Energy Services Ltd,NGN,187090.02,14031.75,201121.77,Consulting Services,17,4974.82
INV-SYN-00037,2025-09-22,52123768-9885,Port Harcourt Energy Services Ltd,NGN,187090.02,14031.75,201121.77,Building Materials,15,4685.11
INV-SYN-00037,2025-09-22,52123768-9885,Port Harcourt Energy Services Ltd,NGN,187090.02,14031.75,201121.77,Logistics Services,13,2480.11
INV-SYN-00038,2025-05-02,35323719-2177,Kano Textiles Ltd,NGN,161306.60,12098.00,173404.60,IT Services,20,3232.06
INV-SYN-00038,2025-05-02,35323719-2177,Kano Textiles Ltd,NGN,161306.60,12098.00,173404.60,Consulting Services,20,3327.96
INV-SYN-00038,2025-05-02,35323719-2177,Kano Textiles Ltd,NGN,161306.60,12098.00,173404.60,Raw Materials,10,3010.62
INV-SYN-00039,2025-12-02,54138224-3635,Kano Textiles Ltd,NGN,88980.94,6673.57,95654.51,Industrial Equipment,17,2407.16
INV-SYN-00039,2025-12-02,54138224-3635,Kano Textiles Ltd,NGN,88980.94,6673.57,95654.51,Logistics Services,5,3069.70
INV-SYN-00039,2025-12-02,54138224-3635,Kano Textiles Ltd,NGN,88980.94,6673.57,95654.51,IT Services,7,4672.96
INV-SYN-00040,2025-05-23,26406488-9951,Kano Textiles Ltd,NGN,31485.14,2361.39,33846.53,Logistics Services,10,1976.80
INV-SYN-00040,2025-05-23,26406488-9951,Kano Textiles Ltd,NGN,31485.14,2361.39,33846.53,Raw Materials,11,937.58
INV-SYN-00040,2025-05-23,26406488-9951,Kano Textiles Ltd,NGN,31485.14,2361.39,33846.53,Building Materials,3,467.92
INV-SYN-00041,2025-06-18,51111033-9708,Ọlá Foods Distribution Plc,NGN,64717.38,4853.80,69571.18,Consulting Services,6,1423.21
INV-SYN-00041,2025-06-18,51111033-9708,Ọlá Foods Distribution Plc,NGN,64717.38,4853.80,69571.18,Raw Materials,6,4986.94
INV-SYN-00041,2025-06-18,51111033-9708,Ọlá Foods Distribution Plc,NGN,64717.38,4853.80,69571.18,Logistics Services,19,1381.92
INV-SYN-00042,2025-12-16,26207272-8260,Ọlá Foods Distribution Plc,NGN,59090.10,4431.76,63521.86,Industrial Equipment,2,3380.61
INV-SYN-00042,2025-12-16,26207272-8260,Ọlá Foods Distribution Plc,NGN,59090.10,4431.76,63521.86,Building Materials,16,3022.44
INV-SYN-00042,2025-12-16,26207272-8260,Ọlá Foods Distribution Plc,NGN,59090.10,4431.76,63521.86,Raw Materials,8,496.23
INV-SYN-00043,2025-10-13,73966286-1122,Chukwuemeka Okafor Ltd,NGN,63558.54,4766.89,68325.43,Logistics Services,13,1967.98
INV-SYN-00043,2025-10-13,73966286-1122,Chukwuemeka Okafor Ltd,NGN,63558.54,4766.89,68325.43,IT Services,1,1528.50
INV-SYN-00043,2025-10-13,73966286-1122,Chukwuemeka Okafor Ltd,NGN,63558.54,4766.89,68325.43,Logistics Services,10,3644.63
INV-SYN-00044,2025-02-24,69732150-6332,Port Harcourt Energy Services Ltd,NGN,78364.65,5877.35,84242.00,Raw Materials,19,836.19
INV-SYN-00044,2025-02-24,69732150-6332,Port Harcourt Energy Services Ltd,NGN,78364.65,5877.35,84242.00,Maintenance Services,20,2985.96
INV-SYN-00044,2025-02-24,69732150-6332,Port Harcourt Energy Services Ltd,NGN,78364.65,5877.35,84242.00,Industrial Equipment,3,919.28
INV-SYN-00045,2025-07-15,55639376-9766,Ola Foods Plc,NGN,66090.43,4956.78,71047.21,Building Materials,12,1531.54
INV-SYN-00045,2025-07-15,55639376-9766,Ola Foods Plc,NGN,66090.43,4956.78,71047.21,Office Supplies,9,4670.55
INV-SYN-00045,2025-07-15,55639376-9766,Ola Foods Plc,NGN,66090.43,4956.78,71047.21,IT Services,5,1135.40
INV-SYN-00046,2025-06-06,98188807-5240,Yusuf Agro Processing Ltd,NGN,95057.48,7129.31,102186.79,Logistics Services,5,2889.50
INV-SYN-00046,2025-06-06,98188807-5240,Yusuf Agro Processing Ltd,NGN,95057.48,7129.31,102186.79,Building Materials,13,1333.00
INV-SYN-00046,2025-06-06,98188807-5240,Yusuf Agro Processing Ltd,NGN,95057.48,7129.31,102186.79,Consulting Services,18,3515.61
INV-SYN-00047,2025-06-07,13915010-6454,Ola Foods Plc,NGN,56459.77,4234.48,60694.25,Raw Materials,16,1832.37
INV-SYN-00047,2025-06-07,13915010-6454,Ola Foods Plc,NGN,56459.77,4234.48,60694.25,IT Services,16,1542.09
INV-SYN-00047,2025-06-07,13915010-6454,Ola Foods Plc,NGN,56459.77,4234.48,60694.25,Maintenance Services,1,2468.41
INV-SYN-00048,2025-03-04,59720011-7591,Adeyemi Trading Company Ltd,NGN,123947.01,9296.03,133243.04,Raw Materials,16,2878.71
INV-SYN-00048,2025-03-04,59720011-7591,Adeyemi Trading Company Ltd,NGN,123947.01,9296.03,133243.04,Raw Materials,11,4307.75
INV-SYN-00048,2025-03-04,59720011-7591,Adeyemi Trading Company Ltd,NGN,123947.01,9296.03,133243.04,Office Supplies,20,1525.12
INV-SYN-00049,2025-12-18,93613779-2151,Yusuf Agro Processing Ltd,NGN,137146.33,10285.97,147432.30,Raw Materials,18,1769.17
INV-SYN-00049,2025-12-18,93613779-2151,Yusuf Agro Processing Ltd,NGN,137146.33,10285.97,147432.30,Industrial Equipment,11,4262.17
INV-SYN-00049,2025-12-18,93613779-2151,Yusuf Agro Processing Ltd,NGN,137146.33,10285.97,147432.30,Logistics Services,19,3074.60
INV-SYN-00050,2025-01-31,92136961-2079,Abuja Construction Materials Ltd,NGN,42895.91,3217.19,46113.10,Logistics Services,1,2239.07
INV-SYN-00050,2025-01-31,92136961-2079,Abuja Construction Materials Ltd,NGN,42895.91,3217.19,46113.10,Logistics Services,7,3190.22
INV-SYN-00050,2025-01-31,92136961-2079,Abuja Construction Materials Ltd,NGN,42895.91,3217.19,46113.10,Maintenance Services,10,1832.53
INV-SYN-00051,2025-11-18,73373372-2306,Ibrahim & Sons Trading Ltd,NGN,67061.93,5029.64,72091.57,Building Materials,3,3057.87
INV-SYN-00051,2025-11-18,73373372-2306,Ibrahim & Sons Trading Ltd,NGN,67061.93,5029.64,72091.57,Consulting Services,6,2404.32
INV-SYN-00051,2025-11-18,73373372-2306,Ibrahim & Sons Trading Ltd,NGN,67061.93,5029.64,72091.57,Consulting Services,20,2173.12
INV-SYN-00052,2025-07-24,97444057-5997,Ola Foods Plc,NGN,102366.29,7677.47,110043.76,Industrial Equipment,9,2068.65
INV-SYN-00052,2025-07-24,97444057-5997,Ola Foods Plc,NGN,102366.29,7677.47,110043.76,Logistics Services,16,4235.79
INV-SYN-00052,2025-07-24,97444057-5997,Ola Foods Plc,NGN,102366.29,7677.47,110043.76,Raw Materials,20,798.79
INV-SYN-00053,2025-09-03,94904135-8951,Ola Foods Plc,NGN,85512.63,6413.45,91926.08,Industrial Equipment,18,2613.64
INV-SYN-00053,2025-09-03,94904135-8951,Ola Foods Plc,NGN,85512.63,6413.45,91926.08,Raw Materials,15,1811.75
INV-SYN-00053,2025-09-03,94904135-8951,Ola Foods Plc,NGN,85512.63,6413.45,91926.08,Building Materials,6,1881.81
INV-SYN-00054,2025-03-11,28950399-7941,Ọlá Foods Distribution Plc,NGN,108209.86,8115.74,116325.60,Logistics Services,12,3753.26
INV-SYN-00054,2025-03-11,28950399-7941,Ọlá Foods Distribution Plc,NGN,108209.86,8115.74,116325.60,Building Materials,13,4782.90
INV-SYN-00054,2025-03-11,28950399-7941,Ọlá Foods Distribution Plc,NGN,108209.86,8115.74,116325.60,Building Materials,1,993.04
INV-SYN-00055,2025-09-20,74256723-0294,Chukwuemeka Okafor Ltd,NGN,75174.98,5638.12,80813.10,Maintenance Services,17,3563.92
INV-SYN-00055,2025-09-20,74256723-0294,Chukwuemeka Okafor Ltd,NGN,75174.98,5638.12,80813.10,Logistics Services,14,129.06
INV-SYN-00055,2025-09-20,74256723-0294,Chukwuemeka Okafor Ltd,NGN,75174.98,5638.12,80813.10,Office Supplies,5,2556.30
INV-SYN-00056,2025-06-25,37663288-3918,Yusuf Agro Processing Ltd,NGN,62905.69,4717.93,67623.62,IT Services,16,119.06
INV-SYN-00056,2025-06-25,37663288-3918,Yusuf Agro Processing Ltd,NGN,62905.69,4717.93,67623.62,Office Supplies,14,1916.67
INV-SYN-00056,2025-06-25,37663288-3918,Yusuf Agro Processing Ltd,NGN,62905.69,4717.93,67623.62,Building Materials,7,4881.05
INV-SYN-00057,2025-11-02,91287097-0023,Ọlá Foods Distribution Plc,NGN,52994.29,3974.57,56968.86,Industrial Equipment,19,932.49
INV-SYN-00057,2025-11-02,91287097-0023,Ọlá Foods Distribution Plc,NGN,52994.29,3974.57,56968.86,Industrial Equipment,14,2346.75
INV-SYN-00057,2025-11-02,91287097-0023,Ọlá Foods Distribution Plc,NGN,52994.29,3974.57,56968.86,Consulting Services,8,302.81
INV-SYN-00058,2025-08-15,89849669-6961,Yusuf Agro Processing Ltd,NGN,49979.55,3748.47,53728.02,Industrial Equipment,5,2229.40
INV-SYN-00058,2025-08-15,89849669-6961,Yusuf Agro Processing Ltd,NGN,49979.55,3748.47,53728.02,Maintenance Services,7,2786.23
INV-SYN-00058,2025-08-15,89849669-6961,Yusuf Agro Processing Ltd,NGN,49979.55,3748.47,53728.02,Consulting Services,18,1073.83
INV-SYN-00059,2025-10-10,11445950-5425,Ọlá Foods Distribution Plc,NGN,40766.25,3057.47,43823.72,Consulting Services,7,4503.58
INV-SYN-00059,2025-10-10,11445950-5425,Ọlá Foods Distribution Plc,NGN,40766.25,3057.47,43823.72,Office Supplies,13,30.38
INV-SYN-00059,2025-10-10,11445950-5425,Ọlá Foods Distribution Plc,NGN,40766.25,3057.47,43823.72,Industrial Equipment,3,2948.75
INV-SYN-00060,2025-11-13,16749929-4244,Yusuf Agro Processing Ltd,NGN,107310.57,8048.29,115358.86,Office Supplies,1,1017.06
INV-SYN-00060,2025-11-13,16749929-4244,Yusuf Agro Processing Ltd,NGN,107310.57,8048.29,115358.86,Raw Materials,8,2955.98
INV-SYN-00060,2025-11-13,16749929-4244,Yusuf Agro Processing Ltd,NGN,107310.57,8048.29,115358.86,IT Services,17,4861.51
INV-SYN-00061,2025-10-09,01884797-4856,Yusuf Agro Processing Ltd,NGN,104158.71,7811.90,111970.61,Office Supplies,20,994.67
INV-SYN-00061,2025-10-09,01884797-4856,Yusuf Agro Processing Ltd,NGN,104158.71,7811.90,111970.61,Building Materials,13,2679.17
INV-SYN-00061,2025-10-09,01884797-4856,Yusuf Agro Processing Ltd,NGN,104158.71,7811.90,111970.61,Office Supplies,15,3295.74
INV-SYN-00062,2025-12-06,21019004-9366,Lagos Steel & Aluminium Ltd,NGN,78548.20,5891.12,84439.32,IT Services,16,1975.34
INV-SYN-00062,2025-12-06,21019004-9366,Lagos Steel & Aluminium Ltd,NGN,78548.20,5891.12,84439.32,Building Materials,7,4156.73
INV-SYN-00062,2025-12-06,21019004-9366,Lagos Steel & Aluminium Ltd,NGN,78548.20,5891.12,84439.32,Raw Materials,15,1189.71
INV-SYN-00063,2025-10-29,99776172-3813,Lagos Steel & Aluminium Ltd,NGN,157520.84,11814.06,169334.90,Raw Materials,20,3676.77
INV-SYN-00063,2025-10-29,99776172-3813,Lagos Steel & Aluminium Ltd,NGN,157520.84,11814.06,169334.90,Logistics Services,16,3537.92
INV-SYN-00063,2025-10-29,99776172-3813,Lagos Steel & Aluminium Ltd,NGN,157520.84,11814.06,169334.90,Raw Materials,8,3422.34
INV-SYN-00064,2025-09-17,96466641-2306,Lagos Steel & Aluminium Ltd,NGN,66824.05,5011.80,71835.85,Office Supplies,12,3402.48
INV-SYN-00064,2025-09-17,96466641-2306,Lagos Steel & Aluminium Ltd,NGN,66824.05,5011.80,71835.85,IT Services,5,802.67
